fixtureId,Bookie,Winner,Odd
868097,Bwin,Brighton,1.85
868097,NordicBet,Brighton,1.85
868097,10Bet,Brighton,1.86
868097,William Hill,Brighton,1.85
868097,Bet365,Brighton,1.83
868097,Marathonbet,Brighton,1.87
868097,Unibet,Brighton,1.86
868097,Betsson,Brighton,1.85
868097,188Bet,Brighton,1.88
868097,Pinnacle,Brighton,1.88
868097,SBO,Brighton,1.84
868097,Netbet,Brighton,1.83
868097,1xBet,Brighton,1.9
868097,Sportingbet,Brighton,1.85
868097,ComeOn,Brighton,1.83
868097,Betway,Brighton,1.88
868097,Tipico,Brighton,1.8
868097,Betcris,Brighton,1.87
868097,888Sport,Brighton,1.81
868097,Dafabet,Brighton,1.89
868098,Bwin,Manchester United,1.87
868098,NordicBet,Manchester United,1.9
868098,10Bet,Manchester United,1.86
868098,William Hill,Manchester United,1.85
868098,Bet365,Manchester United,1.85
868098,Marathonbet,Manchester United,1.96
868098,Unibet,Manchester United,1.91
868098,Betsson,Manchester United,1.9
868098,188Bet,Fulham,3.9
868098,Pinnacle,Manchester United,1.93
868098,SBO,Fulham,3.74
868098,Netbet,Manchester United,1.83
868098,1xBet,Manchester United,1.94
868098,Sportingbet,Manchester United,1.87
868098,ComeOn,Manchester United,1.83
868098,Betway,Fulham,3.8
868098,Tipico,Fulham,3.8
868098,Betcris,Manchester United,1.88
868098,888Sport,Fulham,3.9
868098,Dafabet,Manchester United,1.88
